hombre,pclass_2,pclass_3,acompanantes_1,acompanantes_2,acompanantes_3,acompanantes_4,acompanantes_5,acompanantes_6,acompanantes_7,acompanantes_10,edad_Adolescente,edad_Adulto Joven,edad_Adulto,edad_Anciano,survived
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,1
True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1
False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,1
True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,0
False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0
True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0
True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,0
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0
True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,0
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,0
True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,1
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,1
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0
True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0
False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,1
True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1
True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1
True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,0
True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,1
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1
True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1
False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1
False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,0
True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0
True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1
True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,1
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,1
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
